Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Status
vitamin-c-serum,Vitamin C Brightening Serum,"<p>A stabilised 10% Vitamin C serum that targets dullness and uneven tone. Lightweight, fast-absorbing, suitable for daily use.</p>",Fazarim,Serum,"skincare, best-seller, new, concern-pigmentation, concern-anti-aging",TRUE,Size,30 ml,FZ-SER-VC30,,continue,manual,2850,3400,TRUE,TRUE,,active
niacinamide-serum,Niacinamide Clarifying Serum,"<p>10% Niacinamide with zinc to help regulate oil, reduce the look of pores and calm breakout-prone skin.</p>",Fazarim,Serum,"skincare, new, concern-acne, concern-oily-skin",TRUE,Size,30 ml,FZ-SER-NIA30,,continue,manual,2450,,TRUE,TRUE,,active
hydra-glow-moisturizer,Hydra Glow Moisturizer,<p>A hyaluronic acid moisturiser that holds hydration for 24 hours without a heavy finish. Fragrance-free.</p>,Fazarim,Moisturizer,"skincare, best-seller, concern-dry-skin, concern-sensitive",TRUE,Size,50 ml,FZ-MST-HG50,,continue,manual,1950,2400,TRUE,TRUE,,active
gentle-foaming-cleanser,Gentle Foaming Cleanser,<p>A sulphate-free gel cleanser that removes oil and sunscreen without stripping the skin barrier. pH balanced.</p>,Fazarim,Cleanser,"skincare, concern-sensitive, concern-oily-skin",TRUE,Size,150 ml,FZ-CLN-GF150,,continue,manual,1250,,TRUE,TRUE,,active
daily-defense-sunscreen,Daily Defense Sunscreen SPF 50,<p>Broad-spectrum SPF 50 PA+++ with no white cast. Lightweight enough to wear under makeup or alone.</p>,Fazarim,Sunscreen,"skincare, new, concern-pigmentation, concern-anti-aging",TRUE,Size,60 ml,FZ-SUN-DD60,,continue,manual,1850,2200,TRUE,TRUE,,active
argan-hair-oil,Argan Hair Oil,"<p>Cold-pressed argan oil blended with vitamin E to smooth frizz and restore shine to dry, damaged lengths.</p>",Fazarim,Hair Oil,"hair-care, best-seller, sale, concern-frizzy-hair, concern-damaged-hair",TRUE,Size,100 ml,FZ-OIL-ARG100,,continue,manual,1150,1600,TRUE,TRUE,,active
hair-fall-control-oil,Hair Fall Control Oil,<p>A rosemary and black seed oil blend massaged into the scalp to support stronger roots and reduce breakage.</p>,Fazarim,Hair Oil,"hair-care, new, concern-hair-fall",TRUE,Size,100 ml,FZ-OIL-HFC100,,continue,manual,1250,,TRUE,TRUE,,active
repair-shampoo,Sulphate-Free Repair Shampoo,<p>A sulphate-free formula that cleanses gently while rebuilding damaged strands. Safe for coloured and treated hair.</p>,Fazarim,Shampoo,"hair-care, concern-damaged-hair, concern-frizzy-hair",TRUE,Size,250 ml,FZ-SHP-REP250,,continue,manual,1450,,TRUE,TRUE,,active
anti-dandruff-shampoo,Anti-Dandruff Medicated Shampoo,<p>A medicated shampoo with ketoconazole and zinc pyrithione to control flaking and soothe an itchy scalp.</p>,Fazarim,Shampoo,"hair-care, best-seller, concern-dandruff",TRUE,Size,200 ml,FZ-SHP-AD200,,continue,manual,1350,1700,TRUE,TRUE,,active
nourish-body-wash,Nourish Body Wash,"<p>A creamy, sulphate-free body wash with glycerin and shea that cleans without leaving skin tight.</p>",Fazarim,Body Wash,"body-care, concern-dry-skin",TRUE,Size,300 ml,FZ-BWS-NR300,,continue,manual,1050,,TRUE,TRUE,,active
silk-body-lotion,Silk Body Lotion,<p>A fast-absorbing moisturising lotion with shea butter and niacinamide for 24-hour softness. Non-greasy.</p>,Fazarim,Lotion,"body-care, best-seller, concern-dry-skin",TRUE,Size,200 ml,FZ-LOT-SLK200,,continue,manual,950,1200,TRUE,TRUE,,active
medicated-antibacterial-soap,Medicated Antibacterial Soap,<p>A medicated cleansing bar for body breakouts and daily antibacterial care. Dermatologist tested.</p>,Fazarim,Soap,"body-care, concern-acne",TRUE,Size,100 g,FZ-SOP-MED100,,continue,manual,320,,TRUE,TRUE,,active
gentle-bathing-soap,Gentle Bathing Soap,"<p>A mild, glycerin-rich bathing bar for everyday use. Fragrance-free and kind to sensitive skin.</p>",Fazarim,Soap,"body-care, concern-sensitive, concern-dry-skin",TRUE,Size,100 g,FZ-SOP-GEN100,,continue,manual,280,350,TRUE,TRUE,,active
complete-skincare-kit,Complete Skincare Routine Kit,"<p>The full routine in one box: Gentle Foaming Cleanser, Vitamin C Brightening Serum, Hydra Glow Moisturizer and Daily Defense SPF 50.</p>",Fazarim,Kit,"kit, skincare, sale, new, best-seller",TRUE,Size,4-piece set,FZ-KIT-SKN4,,continue,manual,6200,7900,TRUE,TRUE,,active
